plantID,trip,code,genus,epithet,cii,lblade,phylotax,phylotax2,growth,btype,d10,d10h,dbh,dbhh,d1b,s1bh,sh,cmax,cmean,cmin,cd1,cd2,nl,np,lhm,ldm,rhs,rhf,phm,pdm,tl,td,tv,ttype,thm,tdm,il1,il2,il3,il4,il5,tl1,tl2,tl3,tl4,tl5,sf,check.ID.,dbh0,absArea,count,dL,sDens,tdmc,pdmc,ldmc,sla,ls,rgrD,cArea,cTh,RcTh,RcPos,cVol,cVol2,tL,d10c,dbhc,d1bc,d10hc,dbhhc,s1bhc,taper,sVol,sMass,HGE,bM0n,bM1n,rgrBn,LIEn,LUEn,bM0c,bM1c,rgrBc,LIEc,LUEc
41110,1,POURET,Pouteria,reticulata,NA,simple,alternate,distic,cont,vertical,2211,10,1735,-10,1687,44,195,228,173,72,168,125,5,5,625,316,1300,1830,27,11,103,394,116,branch,140,74,3.8653,3.5198,3.2032,3.0592,4.1676,2.3683,2.3827,2.5267,2.7282,2.1524,no,,15,NA,NA,32.30581283,0.637931034,52.85714286,40.74074074,50.56,NA,NA,0.018192788,1.649336143,1.56,42.39130435,85.05434783,2.572964383,0.857654794,53.28314473,22.11,17.35,16.87,0.1,1.3,1.84,-3.170448815,415.9388366,265.3402923,1.349210845,0.447039001,0.631817067,0.043244257,84.33318369,3.467852108,0.346272307,0.508821753,0.12789524,55.31189191,11.58057352
41122,1,OURDIS,Ouratea,discophora,NA,simple,alternate,distic,cont,horizontal,2448,10,1642,-10,803,183,217,227,201,177,139,84,5,5,873,453,1300,1950,32,14,106,456,163,branch,201,124,5.4054,5.1319,5.2615,4.6713,6.0388,3.563,4.4698,3.2751,3.563,4.1388,no,,16,554.034,5,32.28166873,0.760736196,61.69154229,43.75,51.89003436,12.23033113,110.8068,0.003238923,0.917030896,0.5,13.6239782,92.91553134,0.458515448,0.152838483,29.60328758,24.48,16.42,8.03,0.1,1.3,3.23,-5.170046385,544.4035247,414.1474667,0.862011792,0.521158337,0.554266302,0.007698919,53.40986362,1.118388098,0.487786915,0.522377986,0.139922562,19.81385709,33.99227157
41127,1,TAPGUI,Tapura,guianensis,NA,simple,alternate,distic,cont,horizontal,2663,70,1932,-10,2698,-36,167,192,80,-54,180,163,5,5,1338,479,1300,2009,58,17,109,542,284,branch,326,144,5.6213,5.1607,5.3478,5.4918,4.585,3.1744,2.6706,2.5698,2.5267,3.2895,no,,13,411.459,5,50.06170762,0.507042254,44.17177914,29.31034483,35.79970105,8.589958246,82.2918,0.049523934,2.304358211,2.46,74.09638554,66.26506024,5.6687212,1.889573733,115.360107,26.63,19.32,26.98,0.7,1.3,1.04,-11.52172312,440.0067162,223.1019969,1.174350762,0.318141145,0.815859585,0.117718391,141.3970114,4.314476235,0.1893221,0.539995208,0.236269156,92.03885628,9.223836268
41137,1,LICOCT,Licania,octandra,NA,simple,alternate,both,cont,horizontal,2003,20,1534,-10,1516,-48,219,244,119,-60,150,106,5,5,436,214,1300,1850,9,3,110,557,300,branch,367,200,4.8153,5.4054,5.7941,5.1319,5.3047,2.9729,2.4979,2.5267,2.6706,2.757,no,,13,NA,NA,49.65596546,0.666666667,54.49591281,33.33333333,49.08256881,NA,NA,0.020689305,1.24878308,3.04,79.16666667,67.44791667,3.796300563,1.265433521,62.00952948,20.03,15.34,15.16,0.2,1.3,0.92,-4.590452798,356.0657685,237.377179,1.533424576,0.318141145,0.471501817,0.049178478,131.5149322,2.473179101,0.247293756,0.383592614,0.142889957,79.94562944,8.52050517
41143,1,DUGAST,Duguetia,asterotricha,NA,simple,alternate,distic,cont,horizontal,2448,10,1926,-10,1185,55,191,213,135,74,149,87,5,5,1531,679,1300,NA,59,23,96,553,254,branch,268,94,7.1471,7.2766,7.435,9.0039,8.0107,3.6638,3.5198,3.6926,3.4479,4.2539,no,,15,NA,NA,50.72225958,0.37007874,35.07462687,38.98305085,44.35009798,NA,NA,0.031247526,1.018111639,1.39,39.37677054,77.90368272,1.415175179,0.47172506,51.64092285,24.48,19.26,11.85,0.1,1.3,1.95,-6.51769158,503.6124825,186.3762731,1.840363016,0.447039001,0.809849792,0.074275368,63.76605062,7.025645002,0.203523085,0.393880218,0.161275321,69.83167542,10.37902883
41154,1,RYASPE,Ryania,speciosa,NA,simple,alternate,distic,cont,horizontal,2569,10,1761,-10,1120,113,147,177,145,101,156,167,5,5,264,116,1300,NA,9,3,115,419,173,branch,207,105,6.7441,6.7441,6.3266,6.4562,6.3698,3.9948,3.0736,3.16,3.1456,3.0448,no,,13,162.192,5,51.27784145,0.606936416,50.72463768,33.33333333,43.93939394,13.98206897,32.4384,0.037939696,2.046119295,0.76,23.97476341,89.90536278,1.555050664,0.518350221,104.9205808,25.69,17.61,11.2,0.1,1.3,2.53,-5.959832012,478.6043089,290.482384,1.056862712,0.318141145,0.654555506,0.090182657,160.2928704,3.206371507,0.225645137,0.504087341,0.224520123,77.15639064,10.81006123
41167,1,AMPLON,Amphirrhox,longifolia,NA,simple,alternate,spiral,rhitmic,arched,2394,30,1614,-10,1516,59,144,175,110,51,191,162,5,5,942,340,1300,2015,49,16,126,453,218,branch,246,113,6.1683,5.3478,5.2039,3.5198,6.01,2.3539,1.6342,2.7857,3.2464,2.6994,no,,12,519.316,5,49.52316841,0.518348624,45.93495935,32.65306122,36.09341826,15.274,103.8632,0.037049252,2.430178997,1.24,39.36507937,79.36507937,3.013421957,1.004473986,120.3501637,23.94,16.14,15.16,0.3,1.3,1.99,-5.381653663,381.1102553,197.5479764,1.442687519,0.263020932,0.532063152,0.088066071,226.1952615,2.23549525,0.156348001,0.343259687,0.228037449,124.1855612,6.753356753
41190,1,LICHET,Licania,heteromorpha,NA,simple,alternate,distic,cont,arched,1968,10,1731,-10,1504,101,168,218,136,67,278,190,5,5,368,171,1300,1930,23,9,112,467,167,branch,196,95,11.105,10.702,10.616,10.76,9.7092,4.8009,3.9229,3.3471,3.8509,6.1683,no,,13,NA,NA,63.34423472,0.568862275,48.46938776,39.13043478,46.4673913,NA,NA,0.035791876,4.148473099,1.51,42.17877095,77.09497207,6.26419438,2.088064793,262.7818537,19.68,17.31,15.04,0.1,1.3,2.41,-2.008204091,302.158683,171.886676,2.024589736,0.318141145,0.628360131,0.08507729,418.2026213,1.180519056,0.211819131,0.452217107,0.137090288,414.3141287,1.607563031
41260,1,RYASPE,Ryania,speciosa,NA,simple,alternate,distic,cont,horizontal,1686,10,1496,-10,857,114,150,163,145,128,85,87,5,5,318,136,1300,2024,9,3,116,358,115,branch,123,61,4.6857,4.0812,4.9304,4.1963,4.3259,2.9873,2.9873,2.8865,2.6562,2.5842,no,,11,203.774,5,33.27400079,0.530434783,49.59349593,33.33333333,42.7672956,14.98338235,40.7548,0.038435587,0.580801942,0.35,11.55115512,94.05940594,0.20328068,0.067760227,19.32560427,16.86,14.96,8.57,0.1,1.3,2.54,-3.407291293,208.3731699,110.5283771,2.650902942,0.213878389,0.44421057,0.091361391,43.50550292,11.9184983,0.126813942,0.28716246,0.141701782,49.05052525,13.82517634
41287,1,DUGFLA,Duguetia,flagellaris,NA,simple,alternate,distic,cont,horizontal,2120,10,1491,-10,1720,-8,142,163,59,-18,139,174,5,5,658,322,1300,1900,17,9,98,557,283,branch,325,141,4.8585,5.1607,5.2471,5.7365,5.9812,2.9297,2.138,2.7426,2.0517,2.2532,no,,10,NA,NA,57.05818452,0.498233216,43.38461538,52.94117647,48.93617021,NA,NA,0.049930879,1.899563998,1.81,59.7359736,65.67656766,3.438210836,1.146070279,108.3856731,21.2,14.91,17.2,0.1,1.3,1.32,-4.227738323,320.0436778,159.4563907,1.837492989,0.170520458,0.440689649,0.118685701,245.9455843,2.492665153,0.092490214,0.267750074,0.24895661,159.9234829,5.399646843
