"Family","Genus","epithet","max","q975","n","type","maxF","q975F","nF","typeF","nT","nsap","finalType"
"Capparaceae","Neocalyptrocalyx","leprieurii",8.1,5.105,80,"understory?",-Inf,NA,0,NA,80,79,"understory?"
"Piperaceae","Piper","alatabaccum",23.5,7.81749999999992,72,"understory?",-Inf,NA,0,NA,72,70,"understory?"
"Chrysobalanaceae","Hirtella","physophora",10.1,7.79,69,"understory?",-Inf,NA,0,NA,69,59,"understory?"
"Linaceae","Roucheria","punctata",12.3,10.5,77,"understory?",-Inf,NA,0,NA,77,57,"understory?"
"Apocynaceae","Tabernaemontana","undulata",9.7,9.0125,72,"understory?",-Inf,NA,0,NA,72,55,"understory?"
"Sapindaceae","Matayba","inelegans",18.5,12.47,69,"understory?",14,13.775,10,"understory?",79,49,"understory?"
"Simaroubaceae","Simaba","cedron",11.9,10.09,82,"understory?",12,11.95,3,"understory?",85,48,"understory?"
"Urticaceae","Pourouma","cuspidata",11.2,10.195,83,"understory?",-Inf,NA,0,NA,83,47,"understory?"
"Araliaceae","Schefflera","morototoni",6.4,5.8,49,"understory?",-Inf,NA,0,NA,49,46,"understory?"
"Meliaceae","Trichilia","pleeana",11.8,9.325,51,"understory?",11,11,5,"understory?",56,45,"understory?"
"Burseraceae","Protium","aracouchini",15.6,11.73,69,"understory?",14,13.3,29,"understory?",98,44,"understory?"
"Burseraceae","Protium","ferrugineum",12.4,10.5175,60,"understory?",12,11.975,2,"understory?",62,44,"understory?"
"Phyllanthaceae","Amanoa","guianensis",18.1,14.96,89,"understory?",-Inf,NA,0,NA,89,44,"understory?"
"Rubiaceae","Duroia","macrophylla",13.1,12.5125,66,"understory?",14,14,14,"understory?",80,44,"understory?"
"Arecaceae","Iriartella","setigera",5.8,5.5625,46,"understory?",-Inf,NA,0,NA,46,44,"understory?"
"Sapotaceae","Chromolucuma","rubriflora",22.1,12.15,61,"understory?",13,13,5,"understory?",66,42,"understory?"
"Melastomataceae","Miconia","dispar",9.7,8.7575,58,"understory?",14,13.45,12,"understory?",70,40,"understory?"
"Sapindaceae","Cupania","scrobiculata",14,9.88,57,"understory?",-Inf,NA,0,NA,57,40,"understory?"
"Chrysobalanaceae","Hirtella","duckei",7.4,5.8925,42,"understory?",-Inf,NA,0,NA,42,39,"understory?"
"Myrsinaceae","Cybianthus","guyanensis",6.7,6.55,46,"understory?",-Inf,NA,0,NA,46,38,"understory?"
"Meliaceae","Trichilia","areolata",12,9.81,67,"understory?",13,13,25,"understory?",92,37,"understory?"
"Rhizophoraceae","Cassipourea","guianensis",16.8,13.31,53,"understory?",-Inf,NA,0,NA,53,37,"understory?"
"Humiriaceae","Vantanea","guianensis",23.6,13.1,61,"understory?",-Inf,NA,0,NA,61,37,"understory?"
"Picramniaceae","Picramnia","juniniana",8.9,8,48,"understory?",-Inf,NA,0,NA,48,37,"understory?"
"Rubiaceae","Cordiera","myrciifolia",10.5,10.01,53,"understory?",-Inf,NA,0,NA,53,37,"understory?"
"Olacaceae","Dulacia","candida",13.6,12.6,61,"understory?",0,0,1,"understory?",62,36,"understory?"
"Hypericaceae","Vismia","cauliflora",6.3,5.94,37,"understory?",-Inf,NA,0,NA,37,35,"understory?"
"Fabaceae","Cynometra","marginata",14.4,13.7525,60,"understory?",-Inf,NA,0,NA,60,34,"understory?"
"Meliaceae","Trichilia","micropetala",13,10.9325,62,"understory?",13,13,5,"understory?",67,34,"understory?"
"Burseraceae","Protium","nitidifolium",11,8.4775,54,"understory?",15,14.4,13,"understory?",67,34,"understory?"
"Rubiaceae","Coussarea","racemosa",13,12.5,61,"understory?",15,14.3,15,"understory?",76,34,"understory?"
"Fabaceae","Swartzia","cuspidata",13.3,10.66,67,"understory?",-Inf,NA,0,NA,67,33,"understory?"
"Sapindaceae","Allophylus","latifolius",11.6,10.53,88,"understory?",10,10,1,"understory?",89,32,"understory?"
"Sapindaceae","Matayba","purgans",8.5,6.995,42,"understory?",13,13,2,"understory?",44,32,"understory?"
"Fabaceae","Swartzia","manausensis",18.2,11.6,55,"understory?",13,12.85,7,"understory?",62,31,"understory?"
"Myrtaceae","Myrcia","bracteata",10.5,8.41,50,"understory?",12,11.925,4,"understory?",54,30,"understory?"
"Malvaceae","Quararibea","ochrocalyx",20.8,13.3375,54,"understory?",-Inf,NA,0,NA,54,30,"understory?"
"Simaroubaceae","Simaba","polyphylla",12.7,10.8,73,"understory?",14,14,21,"understory?",94,30,"understory?"
"Rubiaceae","Ixora","intensa",5.1,4.82,29,"understory?",-Inf,NA,0,NA,29,29,"understory?"
"Monimiaceae","Mollinedia","ovata",5.7,5.4825,30,"understory?",-Inf,NA,0,NA,30,29,"understory?"
"Burseraceae","Protium","grandifolium",12.7,11.6,55,"understory?",12,12,4,"understory?",59,28,"understory?"
"Fabaceae","Derris","negrensis",4.7,4.4975,28,"understory?",-Inf,NA,0,NA,28,28,"understory?"
"Sapotaceae","Pouteria","coriacea",9.8,8.6625,36,"understory?",11,11,4,"understory?",40,27,"understory?"
"Rubiaceae","Duroia","saccifera",12,11.565,55,"understory?",13,13,16,"understory?",71,27,"understory?"
"Arecaceae","Bactris","tomentosa",4.3,4.025,23,"understory?",-Inf,NA,0,NA,23,23,"understory?"
"Burseraceae","Protium","elegans",22.2,12.8225,32,"understory?",-Inf,NA,0,NA,32,22,"understory?"
"Meliaceae","Trichilia","schomburgkii",11.2,9.6775,30,"understory?",14,13.975,2,"understory?",32,22,"understory?"
"Sapotaceae","Pouteria","decorticans",11.8,10.675,31,"understory?",16,15.3,29,"understory?",60,21,"understory?"
"Malvaceae","Eriotheca","globosa",12.8,12.04,45,"understory?",15,14.725,12,"understory?",57,21,"understory?"
"Lauraceae","Ocotea","cujumary",15.2,10.3125,24,"understory?",-Inf,NA,0,NA,24,20,"understory?"
"Quiinaceae","Touroulia","guianensis",16.7,14.39,43,"understory?",15,15,17,"understory?",60,20,"understory?"
"Fabaceae","Machaerium","macrophyllum",5.6,5.4575,20,"understory?",-Inf,NA,0,NA,20,19,"understory?"
"Anacardiaceae","Thyrsodium","spruceanum",14.9,13.49,43,"understory?",13,12.8,9,"understory?",52,19,"understory?"
"Humiriaceae","Sacoglottis","ceratocarpa",11,9.63499999999999,22,"understory?",-Inf,NA,0,NA,22,18,"understory?"
